codigo,alvo,evento,particao,h,motor,regime,n,mae_cm,vies_cm,cobertura_pareada
86510000,Muçum,ev20230616,selecao,9,gbm_nivel,alto,73,63.95539430267198,52.75761031124832,1.0
86510000,Muçum,ev20230616,selecao,9,gbm_nivel,subida,31,93.49101812523516,72.8720666271242,1.0
86510000,Muçum,ev20230616,selecao,9,gbm_delta,todos,311,18.980428637035995,-9.742314737703497,1.0
86510000,Muçum,ev20230616,selecao,9,gbm_delta,alto,73,35.84688778638333,-26.190639398811975,1.0
86510000,Muçum,ev20230616,selecao,9,gbm_delta,subida,31,56.694057330450775,-50.28092251934513,1.0
86510000,Muçum,ev20230616,selecao,9,persistencia,todos,311,55.938906752411576,-5.533762057877814,1.0
86510000,Muçum,ev20230616,selecao,9,persistencia,alto,73,133.12328767123287,-14.438356164383562,1.0
86510000,Muçum,ev20230616,selecao,9,persistencia,subida,31,189.70967741935485,-157.5806451612903,1.0
86510000,Muçum,ev20230616,selecao,12,linear,todos,311,42.727116526201904,-3.4480211779907495,1.0
86510000,Muçum,ev20230616,selecao,12,linear,alto,75,87.42192792517636,-29.809637635929853,1.0
86510000,Muçum,ev20230616,selecao,12,linear,subida,34,155.5835995462716,-86.38264440790202,1.0
86510000,Muçum,ev20230616,selecao,12,gbm_nivel,todos,311,32.116073546556436,19.589907272166545,1.0
86510000,Muçum,ev20230616,selecao,12,gbm_nivel,alto,75,64.0878197857323,38.37056424847011,1.0
86510000,Muçum,ev20230616,selecao,12,gbm_nivel,subida,34,93.94073226755344,43.05189215257088,1.0
86510000,Muçum,ev20230616,selecao,12,gbm_delta,todos,311,26.595222476045205,-11.022301247078238,1.0
86510000,Muçum,ev20230616,selecao,12,gbm_delta,alto,75,54.168947871385235,-33.06206264705276,1.0
86510000,Muçum,ev20230616,selecao,12,gbm_delta,subida,34,82.60197649641373,-69.83549046145528,1.0
86510000,Muçum,ev20230616,selecao,12,persistencia,todos,311,70.08681672025723,-7.135048231511254,1.0
86510000,Muçum,ev20230616,selecao,12,persistencia,alto,75,176.29333333333332,-23.84,1.0
86510000,Muçum,ev20230616,selecao,12,persistencia,subida,34,244.7941176470588,-196.6764705882353,1.0
86510000,Muçum,ev20230708,selecao,6,linear,todos,430,23.156359782732743,-5.588408026164545,1.0
86510000,Muçum,ev20230708,selecao,6,linear,alto,154,35.552203432201324,-14.940165842850291,1.0
86510000,Muçum,ev20230708,selecao,6,linear,subida,48,86.87244106806281,-54.617077423339275,1.0
86510000,Muçum,ev20230708,selecao,6,gbm_nivel,todos,430,20.560572546903835,-4.9307634526451505,1.0
86510000,Muçum,ev20230708,selecao,6,gbm_nivel,alto,154,37.8024719520193,-16.104832357893336,1.0
86510000,Muçum,ev20230708,selecao,6,gbm_nivel,subida,48,78.17768094127625,-47.13207555601098,1.0
86510000,Muçum,ev20230708,selecao,6,gbm_delta,todos,430,13.78477148728666,-6.077079338812408,1.0
86510000,Muçum,ev20230708,selecao,6,gbm_delta,alto,154,23.359395015629673,-12.08213658002744,1.0
86510000,Muçum,ev20230708,selecao,6,gbm_delta,subida,48,50.08787291752509,-33.34809475140488,1.0
86510000,Muçum,ev20230708,selecao,6,persistencia,todos,430,55.7093023255814,-1.8348837209302329,1.0
86510000,Muçum,ev20230708,selecao,6,persistencia,alto,154,104.78571428571428,-4.487012987012987,1.0
86510000,Muçum,ev20230708,selecao,6,persistencia,subida,48,178.52083333333334,-167.6875,1.0
86510000,Muçum,ev20230708,selecao,9,linear,todos,430,39.749212255057486,-8.745061838969278,1.0
86510000,Muçum,ev20230708,selecao,9,linear,alto,160,69.33181901183592,-23.34237003052722,1.0
86510000,Muçum,ev20230708,selecao,9,linear,subida,54,155.4365369583365,-94.05220645488085,1.0
86510000,Muçum,ev20230708,selecao,9,gbm_nivel,todos,430,27.798604265199568,-8.984476298495663,1.0
86510000,Muçum,ev20230708,selecao,9,gbm_nivel,alto,160,53.616165272767695,-22.472515386232267,1.0
86510000,Muçum,ev20230708,selecao,9,gbm_nivel,subida,54,100.7470105300293,-70.74672818902843,1.0
86510000,Muçum,ev20230708,selecao,9,gbm_delta,todos,430,24.71948873533116,-14.752777767741469,1.0
86510000,Muçum,ev20230708,selecao,9,gbm_delta,alto,160,45.296528647788605,-32.20207806116609,1.0
86510000,Muçum,ev20230708,selecao,9,gbm_delta,subida,54,93.1785564927298,-80.97598337668131,1.0
86510000,Muçum,ev20230708,selecao,9,persistencia,todos,430,80.12093023255814,-2.558139534883721,1.0
86510000,Muçum,ev20230708,selecao,9,persistencia,alto,160,153.08125,-7.73125,1.0
86510000,Muçum,ev20230708,selecao,9,persistencia,subida,54,245.88888888888889,-226.7037037037037,1.0
86510000,Muçum,ev20230708,selecao,12,linear,todos,430,58.05911514593818,-12.336655869888588,1.0
86510000,Muçum,ev20230708,selecao,12,linear,alto,166,102.55743854296487,-33.891706941136064,1.0
86510000,Muçum,ev20230708,selecao,12,linear,subida,57,216.1057473613922,-132.0258414906691,1.0
86510000,Muçum,ev20230708,selecao,12,gbm_nivel,todos,430,37.90796569117964,-19.88123655991328,1.0
86510000,Muçum,ev20230708,selecao,12,gbm_nivel,alto,166,68.59355063408206,-48.18813239646143,1.0
86510000,Muçum,ev20230708,selecao,12,gbm_nivel,subida,57,127.73578441307605,-106.3750502195079,1.0
86510000,Muçum,ev20230708,selecao,12,gbm_delta,todos,430,37.57304406274964,-22.413998799936447,1.0
86510000,Muçum,ev20230708,selecao,12,gbm_delta,alto,166,65.72097739207172,-47.86631188540908,1.0
86510000,Muçum,ev20230708,selecao,12,gbm_delta,subida,57,134.3022907829515,-114.75283149480777,1.0
86510000,Muçum,ev20230708,selecao,12,persistencia,todos,430,102.23488372093024,-3.137209302325582,1.0
86510000,Muçum,ev20230708,selecao,12,persistencia,alto,166,197.93373493975903,-12.259036144578314,1.0
86510000,Muçum,ev20230708,selecao,12,persistencia,subida,57,309.8070175438597,-273.9824561403509,1.0
86510000,Muçum,ev20230904,selecao,6,linear,todos,176,52.31381209654528,-21.781327416241194,1.0
86510000,Muçum,ev20230904,selecao,6,linear,alto,14,303.74989093915735,-303.74989093915735,1.0
86510000,Muçum,ev20230904,selecao,6,linear,subida,14,303.74989093915735,-303.74989093915735,1.0
86510000,Muçum,ev20230904,selecao,6,gbm_nivel,todos,176,26.94728957863544,-10.505402392397384,1.0
86510000,Muçum,ev20230904,selecao,6,gbm_nivel,alto,14,163.1584533569901,-163.1584533569901,1.0
86510000,Muçum,ev20230904,selecao,6,gbm_nivel,subida,14,163.1584533569901,-163.1584533569901,1.0
86510000,Muçum,ev20230904,selecao,6,gbm_delta,todos,176,36.655724592986694,-23.28835202791752,1.0
86510000,Muçum,ev20230904,selecao,6,gbm_delta,alto,14,296.20770747730546,-296.20770747730546,1.0
86510000,Muçum,ev20230904,selecao,6,gbm_delta,subida,14,296.20770747730546,-296.20770747730546,1.0
86510000,Muçum,ev20230904,selecao,6,persistencia,todos,176,81.67045454545455,-53.95454545454545,1.0
86510000,Muçum,ev20230904,selecao,6,persistencia,alto,14,562.9285714285714,-562.9285714285714,1.0
86510000,Muçum,ev20230904,selecao,6,persistencia,subida,14,562.9285714285714,-562.9285714285714,1.0
86510000,Muçum,ev20230904,selecao,9,linear,todos,173,76.60927788833737,-40.48128215477685,0.9942528735632185
