codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230506,desenvolvimento,12,ridge_montante,integral_12h,275,36.0218960962599,0.5277115640706919,148.3406012401211,todos
86510000,Muçum,ev20230506,desenvolvimento,12,ridge_montante,integral_6h,275,40.900975922675784,0.6680508658975989,136.33036438227845,todos
86510000,Muçum,ev20230506,desenvolvimento,12,ridge_montante,meio_12h,275,33.20866795398515,0.18716260805912094,148.86901281805984,todos
86510000,Muçum,ev20230506,desenvolvimento,12,ridge_montante,meio_6h,275,35.390689751040554,0.2573322589725738,142.86389438913852,todos
86510000,Muçum,ev20230506,desenvolvimento,12,ridge_montante,original,275,33.28634472866233,-0.1533863479524509,149.39742439599854,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_delta,integral_12h,311,11.623289692159343,0.03947210374722568,107.37722498052335,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_delta,integral_6h,311,13.326459247605642,-0.009436620176629117,111.23460745865123,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_delta,meio_12h,311,10.851588516855387,-1.9256913608145194,94.80143896771392,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_delta,meio_6h,311,11.511691529984942,-1.9501457227764505,85.27243289297053,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_delta,original,311,11.003778547616974,-3.8908548253762656,82.5163964398098,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_postos,integral_12h,311,12.03902310186378,0.11732823838645759,85.02138854712814,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_postos,integral_6h,311,13.304758784515672,0.05520438276034378,87.92858575684272,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_postos,meio_12h,311,10.851621995503956,-0.1833843070719464,80.76126787436647,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_postos,meio_6h,311,11.325483631973736,-0.21444623488500342,87.8029055991492,todos
86510000,Muçum,ev20230616,desenvolvimento,6,gbm_postos,original,311,10.148144342569308,-0.4840968525303506,87.67722544145545,todos
