particao,alvo,h,regime,MAE_novo_cm,MAE_anterior_cm,ganho_pct
desenvolvimento,Encantado,9,descida,59.76009975337118,59.76009975337118,0.0
desenvolvimento,Encantado,9,rapida,68.00484679985657,68.00484679985657,0.0
desenvolvimento,Encantado,9,subida,85.77160306304174,85.77160306304174,0.0
desenvolvimento,Encantado,9,todos,20.810621849492104,20.810621849492104,0.0
desenvolvimento,Encantado,12,alto,127.72430350149628,127.72430350149628,0.0
desenvolvimento,Encantado,12,descida,73.85560389374457,73.85560389374457,0.0
desenvolvimento,Encantado,12,rapida,98.02340153870745,98.02340153870745,0.0
desenvolvimento,Encantado,12,subida,149.73206417293332,149.73206417293332,0.0
desenvolvimento,Encantado,12,todos,29.223023475181122,29.223023475181122,0.0
desenvolvimento,Estrela,6,alto,38.0608687385861,38.0608687385861,0.0
desenvolvimento,Estrela,6,descida,14.832127164401816,14.832127164401816,0.0
desenvolvimento,Estrela,6,rapida,48.349544818256604,48.349544818256604,0.0
desenvolvimento,Estrela,6,subida,40.79437580876234,40.79437580876234,0.0
desenvolvimento,Estrela,6,todos,12.685999909171514,12.685999909171514,0.0
desenvolvimento,Estrela,9,alto,62.302798334873565,62.302798334873565,0.0
desenvolvimento,Estrela,9,descida,22.840659458406105,22.840659458406105,0.0
desenvolvimento,Estrela,9,rapida,77.31487892558714,77.31487892558714,0.0
desenvolvimento,Estrela,9,subida,69.24090064529389,69.24090064529389,0.0
desenvolvimento,Estrela,9,todos,18.670949156490884,18.670949156490884,0.0
desenvolvimento,Estrela,12,alto,93.06385216059847,93.06385216059847,0.0
desenvolvimento,Estrela,12,descida,65.75638375688081,65.75638375688081,0.0
desenvolvimento,Estrela,12,rapida,102.07901793322469,102.07901793322469,0.0
desenvolvimento,Estrela,12,subida,104.35734359661348,104.35734359661348,0.0
desenvolvimento,Estrela,12,todos,24.986132119052705,24.986132119052705,0.0
desenvolvimento,Muçum,6,alto,52.297840122279204,52.297840122279204,0.0
