emissao,tipo,alvo,codigo,motor,h,t_ref_utc,emitido_em_utc,valido_para_utc,antecedencia_real_h,previsto_cm,corrigido_cm,observado_cm,erro_cm,erro_corrigido_cm,status
18h revisada (replay 19:27),replay,Muçum,86510000,gbm_delta,12,2026-09-21 21:00:00+00:00,2026-09-21 22:27:00+00:00,2026-09-22 09:00:00+00:00,10.55,1810.5398845611107,,1836.0,-25.46011543888926,,conferido
21/09 21h (emissão),emissao,Encantado,86720000,linear,3,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 03:00:00+00:00,2.6306727016666667,1415.2311188212475,,1453.0,-37.76888117875251,,conferido
21/09 21h (emissão),emissao,Encantado,86720000,ridge_montante,6,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 06:00:00+00:00,5.630672701666667,1473.2572539681055,,1606.0,-132.7427460318945,,conferido
21/09 21h (emissão),emissao,Encantado,86720000,gbm_delta,9,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 09:00:00+00:00,8.630672701666667,1368.6207477251041,,1639.0,-270.37925227489586,,conferido
21/09 21h (emissão),emissao,Encantado,86720000,gbm_delta,12,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 12:00:00+00:00,11.630672701666667,1243.3599424268646,,,,,pendente
21/09 21h (emissão),emissao,Estrela,86879300,linear,3,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 03:00:00+00:00,2.6306727016666667,2199.9009135444758,,2181.0,18.90091354447577,,conferido
21/09 21h (emissão),emissao,Estrela,86879300,linear,6,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 06:00:00+00:00,5.630672701666667,2333.850850798911,,2300.0,33.85085079891087,,conferido
21/09 21h (emissão),emissao,Estrela,86879300,linear,9,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 09:00:00+00:00,8.630672701666667,2428.7805102491056,,2378.0,50.780510249105646,,conferido
21/09 21h (emissão),emissao,Estrela,86879300,linear,12,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 12:00:00+00:00,11.630672701666667,2499.4929983834627,,,,,pendente
21/09 21h (emissão),emissao,Muçum,86510000,linear,3,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 03:00:00+00:00,2.6306727016666667,,,1759.0,,,não emitida
21/09 21h (emissão),emissao,Muçum,86510000,gbm_delta,6,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 06:00:00+00:00,5.630672701666667,1627.6724144855864,,1868.0,-240.3275855144136,,conferido
21/09 21h (emissão),emissao,Muçum,86510000,gbm_delta,9,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 09:00:00+00:00,8.630672701666667,1550.6962769948161,,1836.0,-285.3037230051839,,conferido
21/09 21h (emissão),emissao,Muçum,86510000,gbm_delta,12,2026-09-22 00:00:00+00:00,2026-09-22 00:22:09.578274+00:00,2026-09-22 12:00:00+00:00,11.630672701666667,1396.9638468417588,,,,,pendente
22/09 07h (emissão),emissao,Encantado,86720000,linear,3,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 13:00:00+00:00,2.4466228602777775,1571.4400503144639,,,,,pendente
22/09 07h (emissão),emissao,Encantado,86720000,ridge_montante,6,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 16:00:00+00:00,5.4466228602777775,1519.8686104342428,,,,,pendente
22/09 07h (emissão),emissao,Encantado,86720000,gbm_delta,9,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 19:00:00+00:00,8.446622860277778,1419.89871569069,,,,,pendente
22/09 07h (emissão),emissao,Encantado,86720000,gbm_delta,12,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 22:00:00+00:00,11.44662286027778,1320.7017080135563,,,,,pendente
22/09 07h (emissão),emissao,Estrela,86879300,linear,3,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 13:00:00+00:00,2.4466228602777775,2435.691393847581,,,,,pendente
22/09 07h (emissão),emissao,Estrela,86879300,linear,6,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 16:00:00+00:00,5.4466228602777775,2430.230562056481,,,,,pendente
22/09 07h (emissão),emissao,Estrela,86879300,linear,9,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 19:00:00+00:00,8.446622860277778,2406.320938909096,,,,,pendente
22/09 07h (emissão),emissao,Estrela,86879300,linear,12,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 22:00:00+00:00,11.44662286027778,2374.188837814813,,,,,pendente
22/09 07h (emissão),emissao,Muçum,86510000,linear,3,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 13:00:00+00:00,2.4466228602777775,,,,,,não emitida
22/09 07h (emissão),emissao,Muçum,86510000,gbm_delta,6,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 16:00:00+00:00,5.4466228602777775,1602.512539562242,,,,,pendente
22/09 07h (emissão),emissao,Muçum,86510000,gbm_delta,9,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 19:00:00+00:00,8.446622860277778,1486.9683540928067,,,,,pendente
22/09 07h (emissão),emissao,Muçum,86510000,gbm_delta,12,2026-09-22 10:00:00+00:00,2026-09-22 10:33:12.157703+00:00,2026-09-22 22:00:00+00:00,11.44662286027778,1419.8356600465115,,,,,pendente
